anio,sexo,pais,grupo_edad,causa,causa_grupo,muertes,exposicion
2015,Hombre,Belice,0-4,I,Enfermedades infecciosas y parasitarias,5,18829
2015,Hombre,Belice,0-4,II,Tumores,0,18829
2015,Hombre,Belice,0-4,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,18829
2015,Hombre,Belice,0-4,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1,18829
2015,Hombre,Belice,0-4,IX,Enfermedades del sistema circulatorio,2,18829
2015,Hombre,Belice,0-4,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",3,18829
2015,Hombre,Belice,0-4,X,Enfermedades del sistema respiratorio,7,18829
2015,Hombre,Belice,0-4,XI,Enfermedades del sistema digestivo,1,18829
2015,Hombre,Belice,0-4,XII,Enfermedades de la piel y del tejido subcutáneo,0,18829
2015,Hombre,Belice,0-4,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,18829
2015,Hombre,Belice,0-4,XIV,Enfermedades del sistema genitourinario,0,18829
2015,Hombre,Belice,0-4,XV,"Embarazo, parto y puerperio",0,18829
2015,Hombre,Belice,0-4,XVI,Afecciones originadas en el periodo perinatal,40,18829
2015,Hombre,Belice,0-4,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",15,18829
2015,Hombre,Belice,0-4,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0,18829
2015,Hombre,Belice,0-4,XX,Causas externas de mortalidad,4,18829
2015,Hombre,Belice,10-14,I,Enfermedades infecciosas y parasitarias,1,19677
2015,Hombre,Belice,10-14,II,Tumores,1,19677
2015,Hombre,Belice,10-14,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,19677
2015,Hombre,Belice,10-14,IV,"Enfermedades endocrinas, nutricionales y metabólicas",0,19677
2015,Hombre,Belice,10-14,IX,Enfermedades del sistema circulatorio,0,19677
2015,Hombre,Belice,10-14,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",0,19677
2015,Hombre,Belice,10-14,X,Enfermedades del sistema respiratorio,0,19677
2015,Hombre,Belice,10-14,XI,Enfermedades del sistema digestivo,0,19677
2015,Hombre,Belice,10-14,XII,Enfermedades de la piel y del tejido subcutáneo,0,19677
2015,Hombre,Belice,10-14,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,19677
2015,Hombre,Belice,10-14,XIV,Enfermedades del sistema genitourinario,1,19677
2015,Hombre,Belice,10-14,XV,"Embarazo, parto y puerperio",0,19677
2015,Hombre,Belice,10-14,XVI,Afecciones originadas en el periodo perinatal,0,19677
2015,Hombre,Belice,10-14,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",1,19677
2015,Hombre,Belice,10-14,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0,19677
2015,Hombre,Belice,10-14,XX,Causas externas de mortalidad,6,19677
2015,Hombre,Belice,15-19,I,Enfermedades infecciosas y parasitarias,1,19010
2015,Hombre,Belice,15-19,II,Tumores,1,19010
2015,Hombre,Belice,15-19,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,2,19010
2015,Hombre,Belice,15-19,IV,"Enfermedades endocrinas, nutricionales y metabólicas",0,19010
2015,Hombre,Belice,15-19,IX,Enfermedades del sistema circulatorio,0,19010
2015,Hombre,Belice,15-19,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",0,19010
