causa_etiqueta,edad_orden,exceso_abs,edad_grupo
1001 · Infecciosas y parasitarias,1,258,0
1001 · Infecciosas y parasitarias,2,134,1
1001 · Infecciosas y parasitarias,3,45,2
1001 · Infecciosas y parasitarias,4,36,3
1001 · Infecciosas y parasitarias,5,22,4
1001 · Infecciosas y parasitarias,6,47,5-9
1001 · Infecciosas y parasitarias,7,42,10-14
1001 · Infecciosas y parasitarias,8,50,15-19
1001 · Infecciosas y parasitarias,9,67,20-24
1001 · Infecciosas y parasitarias,10,95,25-29
1001 · Infecciosas y parasitarias,11,115,30-34
1001 · Infecciosas y parasitarias,12,123,35-39
1001 · Infecciosas y parasitarias,13,89,40-44
1001 · Infecciosas y parasitarias,14,81,45-49
1001 · Infecciosas y parasitarias,15,100,50-54
1001 · Infecciosas y parasitarias,16,109,55-59
1001 · Infecciosas y parasitarias,17,100,60-64
1001 · Infecciosas y parasitarias,18,121,65-69
1001 · Infecciosas y parasitarias,19,155,70-74
1001 · Infecciosas y parasitarias,20,150,75-79
1001 · Infecciosas y parasitarias,21,141,80-84
1001 · Infecciosas y parasitarias,22,152,85-89
1001 · Infecciosas y parasitarias,23,77,90-94
1001 · Infecciosas y parasitarias,24,40,95+
1026 · Neoplasias,1,26,0
1026 · Neoplasias,2,22,1
1026 · Neoplasias,3,20,2
1026 · Neoplasias,4,26,3
1026 · Neoplasias,5,25,4
1026 · Neoplasias,6,57,5-9
1026 · Neoplasias,7,42,10-14
1026 · Neoplasias,8,49,15-19
1026 · Neoplasias,9,66,20-24
1026 · Neoplasias,10,64,25-29
1026 · Neoplasias,11,91,30-34
1026 · Neoplasias,12,134,35-39
1026 · Neoplasias,13,149,40-44
1026 · Neoplasias,14,128,45-49
1026 · Neoplasias,15,156,50-54
1026 · Neoplasias,16,215,55-59
1026 · Neoplasias,17,290,60-64
1026 · Neoplasias,18,282,65-69
1026 · Neoplasias,19,215,70-74
1026 · Neoplasias,20,301,75-79
1026 · Neoplasias,21,193,80-84
1026 · Neoplasias,22,202,85-89
1026 · Neoplasias,23,95,90-94
1026 · Neoplasias,24,92,95+
1051 · Endocrinas y metabólicas,1,88,0
1051 · Endocrinas y metabólicas,2,72,1
1051 · Endocrinas y metabólicas,3,23,2
1051 · Endocrinas y metabólicas,4,16,3
1051 · Endocrinas y metabólicas,5,13,4
1051 · Endocrinas y metabólicas,6,27,5-9
1051 · Endocrinas y metabólicas,7,37,10-14
1051 · Endocrinas y metabólicas,8,30,15-19
1051 · Endocrinas y metabólicas,9,51,20-24
1051 · Endocrinas y metabólicas,10,53,25-29
1051 · Endocrinas y metabólicas,11,55,30-34
1051 · Endocrinas y metabólicas,12,73,35-39
1051 · Endocrinas y metabólicas,13,127,40-44
1051 · Endocrinas y metabólicas,14,108,45-49
1051 · Endocrinas y metabólicas,15,151,50-54
1051 · Endocrinas y metabólicas,16,223,55-59
1051 · Endocrinas y metabólicas,17,258,60-64
1051 · Endocrinas y metabólicas,18,232,65-69
1051 · Endocrinas y metabólicas,19,251,70-74
1051 · Endocrinas y metabólicas,20,231,75-79
1051 · Endocrinas y metabólicas,21,198,80-84
1051 · Endocrinas y metabólicas,22,173,85-89
1051 · Endocrinas y metabólicas,23,114,90-94
1051 · Endocrinas y metabólicas,24,86,95+
1064 · Sistema circulatorio,1,64,0
1064 · Sistema circulatorio,2,28,1
1064 · Sistema circulatorio,3,12,2
1064 · Sistema circulatorio,4,13,3
