Pais,Year,muertes_total
Belice,2015,1685
Belice,2016,1723
Belice,2017,1786
Belice,2018,1824
Costa Rica,2015,19610
Costa Rica,2016,21003
Costa Rica,2017,21787
Costa Rica,2018,22188
El Salvador,2015,39382
El Salvador,2016,36898
El Salvador,2017,38035
El Salvador,2018,35350
Guatemala,2015,73555
Guatemala,2016,75571
Guatemala,2017,74928
Guatemala,2018,76064
Nicaragua,2015,21335
Nicaragua,2016,22640
Nicaragua,2017,22695
Nicaragua,2018,22359
Panama,2015,17541
Panama,2016,18229
Panama,2017,18888
Panama,2018,19006
