causa_etiqueta,edad_orden,muertes_total,edad_grupo,total_edad,peso_causa_edad
1001 · Infecciosas y parasitarias,1,3606,0,48630,0.07415175817396669
1001 · Infecciosas y parasitarias,2,1706,1,6811,0.2504771692849802
1001 · Infecciosas y parasitarias,3,562,2,2632,0.2135258358662614
1001 · Infecciosas y parasitarias,4,264,3,1447,0.1824464409122322
1001 · Infecciosas y parasitarias,5,201,4,1142,0.17600700525394045
1001 · Infecciosas y parasitarias,6,575,5-9,3993,0.14400200350613573
1001 · Infecciosas y parasitarias,7,398,10-14,4687,0.08491572434393002
1001 · Infecciosas y parasitarias,8,562,15-19,13011,0.043194220275151796
1001 · Infecciosas y parasitarias,9,1078,20-24,17440,0.06181192660550459
1001 · Infecciosas y parasitarias,10,1475,25-29,17406,0.0847408939446168
1001 · Infecciosas y parasitarias,11,1516,30-34,18461,0.08211906180596934
1001 · Infecciosas y parasitarias,12,1671,35-39,21409,0.07805128684198234
1001 · Infecciosas y parasitarias,13,1575,40-44,23213,0.06784991168741654
1001 · Infecciosas y parasitarias,14,1553,45-49,26606,0.05837029241524468
1001 · Infecciosas y parasitarias,15,1565,50-54,32570,0.04805035308566165
1001 · Infecciosas y parasitarias,16,1650,55-59,40928,0.04031469898358092
1001 · Infecciosas y parasitarias,17,1690,60-64,47678,0.035446117706279624
1001 · Infecciosas y parasitarias,18,1755,65-69,53467,0.03282398488787477
1001 · Infecciosas y parasitarias,19,1826,70-74,58114,0.03142100010324535
1001 · Infecciosas y parasitarias,20,1879,75-79,65186,0.028825207866719847
1001 · Infecciosas y parasitarias,21,1831,80-84,69211,0.02645533224487437
1001 · Infecciosas y parasitarias,22,1617,85-89,65718,0.024605131014333974
1001 · Infecciosas y parasitarias,23,917,90-94,42471,0.021591203409385227
1001 · Infecciosas y parasitarias,24,385,95+,21851,0.017619330923069883
1026 · Neoplasias,1,137,0,48630,0.0028171910343409417
1026 · Neoplasias,2,116,1,6811,0.017031272940831007
1026 · Neoplasias,3,137,2,2632,0.05205167173252279
1026 · Neoplasias,4,126,3,1447,0.08707671043538355
1026 · Neoplasias,5,117,4,1142,0.10245183887915937
1026 · Neoplasias,6,601,5-9,3993,0.15051339844728273
1026 · Neoplasias,7,682,10-14,4687,0.14550885427778962
1026 · Neoplasias,8,1012,15-19,13011,0.07778033971255092
1026 · Neoplasias,9,1116,20-24,17440,0.06399082568807339
1026 · Neoplasias,10,1294,25-29,17406,0.07434218085717569
1026 · Neoplasias,11,1777,30-34,18461,0.09625697416174639
1026 · Neoplasias,12,2608,35-39,21409,0.12181792704002989
1026 · Neoplasias,13,3365,40-44,23213,0.14496187481152803
1026 · Neoplasias,14,4522,45-49,26606,0.16996166278283095
1026 · Neoplasias,15,6042,50-54,32570,0.1855081363217685
1026 · Neoplasias,16,7869,55-59,40928,0.1922644644253323
1026 · Neoplasias,17,9257,60-64,47678,0.1941566340870003
1026 · Neoplasias,18,10525,65-69,53467,0.1968503937007874
1026 · Neoplasias,19,10752,70-74,58114,0.18501565887737895
1026 · Neoplasias,20,10697,75-79,65186,0.1640996532997883
1026 · Neoplasias,21,9088,80-84,69211,0.13130860701333602
1026 · Neoplasias,22,6960,85-89,65718,0.1059070574271889
1026 · Neoplasias,23,3213,90-94,42471,0.07565162110616656
1026 · Neoplasias,24,1119,95+,21851,0.05121047091666285
1048 · Sangre e inmunidad,1,518,0,48630,0.010651860991157721
1048 · Sangre e inmunidad,2,159,1,6811,0.023344589634414915
1048 · Sangre e inmunidad,3,61,2,2632,0.02317629179331307
1048 · Sangre e inmunidad,4,46,3,1447,0.03178991015894955
1048 · Sangre e inmunidad,5,42,4,1142,0.03677758318739054
1048 · Sangre e inmunidad,6,110,5-9,3993,0.027548209366391185
1048 · Sangre e inmunidad,7,133,10-14,4687,0.02837636014508214
1048 · Sangre e inmunidad,8,203,15-19,13011,0.015602182768426716
1048 · Sangre e inmunidad,9,181,20-24,17440,0.010378440366972478
1048 · Sangre e inmunidad,10,206,25-29,17406,0.011834999425485465
1048 · Sangre e inmunidad,11,193,30-34,18461,0.010454471588754672
1048 · Sangre e inmunidad,12,195,35-39,21409,0.009108318931290578
1048 · Sangre e inmunidad,13,180,40-44,23213,0.007754275621419032
1048 · Sangre e inmunidad,14,202,45-49,26606,0.007592272419754942
1048 · Sangre e inmunidad,15,208,50-54,32570,0.006386245010746085
1048 · Sangre e inmunidad,16,258,55-59,40928,0.006303752931978108
1048 · Sangre e inmunidad,17,281,60-64,47678,0.005893703594949453
1048 · Sangre e inmunidad,18,282,65-69,53467,0.0052742813324106455
1048 · Sangre e inmunidad,19,290,70-74,58114,0.00499019169219121
1048 · Sangre e inmunidad,20,357,75-79,65186,0.0054766360875034515
1048 · Sangre e inmunidad,21,369,80-84,69211,0.005331522445853983
1048 · Sangre e inmunidad,22,316,85-89,65718,0.004808423871694208
1048 · Sangre e inmunidad,23,173,90-94,42471,0.004073367709731346
1048 · Sangre e inmunidad,24,95,95+,21851,0.004347627110887374
