Pais,Year,sexo,edad_grupo,edad_orden,causa_etiqueta,muertes_total
Guatemala,2017,Mujeres,85-89,22,1064 · Sistema circulatorio,1059
Guatemala,2015,Mujeres,80-84,21,1064 · Sistema circulatorio,1019
Guatemala,2015,Mujeres,85-89,22,1064 · Sistema circulatorio,991
Guatemala,2016,Mujeres,85-89,22,1064 · Sistema circulatorio,988
Guatemala,2018,Mujeres,80-84,21,1064 · Sistema circulatorio,953
El Salvador,2015,Hombres,20-24,9,1102 · Agresiones,945
Guatemala,2015,Hombres,0,1,1072 · Sistema respiratorio,938
Guatemala,2016,Hombres,80-84,21,1064 · Sistema circulatorio,931
Guatemala,2018,Mujeres,85-89,22,1064 · Sistema circulatorio,931
Guatemala,2015,Hombres,80-84,21,1064 · Sistema circulatorio,921
Guatemala,2016,Mujeres,80-84,21,1064 · Sistema circulatorio,921
Guatemala,2018,Hombres,80-84,21,1064 · Sistema circulatorio,916
Guatemala,2017,Hombres,85-89,22,1064 · Sistema circulatorio,909
Guatemala,2017,Mujeres,80-84,21,1064 · Sistema circulatorio,908
Guatemala,2017,Hombres,80-84,21,1064 · Sistema circulatorio,902
Guatemala,2018,Hombres,85-89,22,1064 · Sistema circulatorio,899
Guatemala,2015,Hombres,85-89,22,1064 · Sistema circulatorio,892
Guatemala,2016,Hombres,0,1,1072 · Sistema respiratorio,877
Guatemala,2016,Hombres,85-89,22,1064 · Sistema circulatorio,874
El Salvador,2017,Mujeres,85-89,22,1064 · Sistema circulatorio,855
Guatemala,2016,Hombres,75-79,20,1064 · Sistema circulatorio,810
El Salvador,2015,Hombres,15-19,8,1102 · Agresiones,797
Guatemala,2017,Mujeres,75-79,20,1064 · Sistema circulatorio,792
Guatemala,2017,Hombres,75-79,20,1064 · Sistema circulatorio,789
Guatemala,2015,Hombres,75-79,20,1064 · Sistema circulatorio,788
