iso_3_code,pais,year,age_group,sex,exposure
BLZ,Belize,2015,0-4,Female,17956
BLZ,Belize,2015,10-14,Female,19264
BLZ,Belize,2015,15-19,Female,18755
BLZ,Belize,2015,20-24,Female,17678
BLZ,Belize,2015,25-29,Female,15959
BLZ,Belize,2015,30-34,Female,13998
BLZ,Belize,2015,35-39,Female,11931
BLZ,Belize,2015,40-44,Female,10585
BLZ,Belize,2015,45-49,Female,8725
BLZ,Belize,2015,5-9,Female,18518
BLZ,Belize,2015,50-54,Female,7180
BLZ,Belize,2015,55-59,Female,5505
BLZ,Belize,2015,60-64,Female,3903
BLZ,Belize,2015,65-69,Female,2680
BLZ,Belize,2015,70-74,Female,1781
BLZ,Belize,2015,75-79,Female,1287
BLZ,Belize,2015,80-84,Female,847
BLZ,Belize,2015,85-89,Female,423
BLZ,Belize,2015,90-94,Female,132
BLZ,Belize,2015,95+,Female,25
BLZ,Belize,2015,0-4,Male,18829
BLZ,Belize,2015,10-14,Male,19677
BLZ,Belize,2015,15-19,Male,19010
BLZ,Belize,2015,20-24,Male,17936
BLZ,Belize,2015,25-29,Male,15954
BLZ,Belize,2015,30-34,Male,13618
BLZ,Belize,2015,35-39,Male,11601
BLZ,Belize,2015,40-44,Male,10273
BLZ,Belize,2015,45-49,Male,8675
BLZ,Belize,2015,5-9,Male,19202
BLZ,Belize,2015,50-54,Male,7355
BLZ,Belize,2015,55-59,Male,5618
BLZ,Belize,2015,60-64,Male,4105
BLZ,Belize,2015,65-69,Male,2817
BLZ,Belize,2015,70-74,Male,1889
BLZ,Belize,2015,75-79,Male,1339
BLZ,Belize,2015,80-84,Male,815
BLZ,Belize,2015,85-89,Male,380
BLZ,Belize,2015,90-94,Male,97
BLZ,Belize,2015,95+,Male,15
BLZ,Belize,2015,0-4,Total,36785
BLZ,Belize,2015,10-14,Total,38940
BLZ,Belize,2015,15-19,Total,37764
BLZ,Belize,2015,20-24,Total,35614
BLZ,Belize,2015,25-29,Total,31913
BLZ,Belize,2015,30-34,Total,27616
BLZ,Belize,2015,35-39,Total,23532
BLZ,Belize,2015,40-44,Total,20858
BLZ,Belize,2015,45-49,Total,17399
BLZ,Belize,2015,5-9,Total,37720
BLZ,Belize,2015,50-54,Total,14535
BLZ,Belize,2015,55-59,Total,11123
BLZ,Belize,2015,60-64,Total,8007.999999999999
BLZ,Belize,2015,65-69,Total,5497
BLZ,Belize,2015,70-74,Total,3670
BLZ,Belize,2015,75-79,Total,2626
BLZ,Belize,2015,80-84,Total,1662
BLZ,Belize,2015,85-89,Total,802
BLZ,Belize,2015,90-94,Total,229
BLZ,Belize,2015,95+,Total,40
BLZ,Belize,2016,0-4,Female,18294
BLZ,Belize,2016,10-14,Female,19207
BLZ,Belize,2016,15-19,Female,19073
BLZ,Belize,2016,20-24,Female,18070
BLZ,Belize,2016,25-29,Female,16493
BLZ,Belize,2016,30-34,Female,14525
BLZ,Belize,2016,35-39,Female,12330
BLZ,Belize,2016,40-44,Female,10859
BLZ,Belize,2016,45-49,Female,9145
BLZ,Belize,2016,5-9,Female,18174
BLZ,Belize,2016,50-54,Female,7423
BLZ,Belize,2016,55-59,Female,5842
BLZ,Belize,2016,60-64,Female,4120
BLZ,Belize,2016,65-69,Female,2874
BLZ,Belize,2016,70-74,Female,1840
BLZ,Belize,2016,75-79,Female,1316
BLZ,Belize,2016,80-84,Female,847
BLZ,Belize,2016,85-89,Female,436
BLZ,Belize,2016,90-94,Female,137
BLZ,Belize,2016,95+,Female,27.000000000000004
BLZ,Belize,2016,0-4,Male,19183
BLZ,Belize,2016,10-14,Male,19646
BLZ,Belize,2016,15-19,Male,19424
BLZ,Belize,2016,20-24,Male,18478
BLZ,Belize,2016,25-29,Male,16686
BLZ,Belize,2016,30-34,Male,14280
BLZ,Belize,2016,35-39,Male,12053
BLZ,Belize,2016,40-44,Male,10598
BLZ,Belize,2016,45-49,Male,9016
BLZ,Belize,2016,5-9,Male,18925
BLZ,Belize,2016,50-54,Male,7590
BLZ,Belize,2016,55-59,Male,5912
BLZ,Belize,2016,60-64,Male,4292
BLZ,Belize,2016,65-69,Male,2973
BLZ,Belize,2016,70-74,Male,1934
BLZ,Belize,2016,75-79,Male,1353
BLZ,Belize,2016,80-84,Male,820
BLZ,Belize,2016,85-89,Male,390
BLZ,Belize,2016,90-94,Male,104
BLZ,Belize,2016,95+,Male,17
BLZ,Belize,2016,0-4,Total,37477
BLZ,Belize,2016,10-14,Total,38853
BLZ,Belize,2016,15-19,Total,38497
BLZ,Belize,2016,20-24,Total,36547
BLZ,Belize,2016,25-29,Total,33179
BLZ,Belize,2016,30-34,Total,28805
BLZ,Belize,2016,35-39,Total,24384
BLZ,Belize,2016,40-44,Total,21457
BLZ,Belize,2016,45-49,Total,18161
