"Pais","Country","Year","icd10_code","age_group","freq_muerte","mediana","media","banda","desviacion","exceso"
"Belice",2045,"2015",1001,"0-4",9,7,7.25,8.7,2,2
"Belice",2045,"2015",1001,"10-14",2,1,1.25,1.5,1,1
"Belice",2045,"2015",1001,"15-19",3,2,2,2.4,1,1
"Belice",2045,"2015",1001,"20-24",4,5,5.5,6.6,-1,0
"Belice",2045,"2015",1001,"25-29",5,7.5,8.25,9.9,-2.5,0
"Belice",2045,"2015",1001,"30-34",16,15,16.25,19.5,1,0
"Belice",2045,"2015",1001,"35-39",20,20.5,21.75,26.1,-0.5,0
"Belice",2045,"2015",1001,"40-44",19,18,17,20.4,1,0
"Belice",2045,"2015",1001,"45-49",17,16.5,16.25,19.5,0.5,0
"Belice",2045,"2015",1001,"5-9",2,1,1,1.2,1,1
"Belice",2045,"2015",1001,"50-54",14,14,14,16.8,0,0
"Belice",2045,"2015",1001,"55-59",10,12,12,14.4,-2,0
"Belice",2045,"2015",1001,"60-64",13,14,13.5,16.2,-1,0
"Belice",2045,"2015",1001,"65-69",7,7,8,9.6,0,0
"Belice",2045,"2015",1001,"70-74",7,7,7.75,9.3,0,0
"Belice",2045,"2015",1001,"75-79",1,6.5,5.5,6.6,-5.5,0
"Belice",2045,"2015",1001,"80-84",2,2.5,3,3.6,-0.5,0
"Belice",2045,"2015",1001,"85-89",3,3.5,3.5,4.2,-0.5,0
"Belice",2045,"2015",1001,"90-94",1,1.5,1.75,2.1,-0.5,0
"Belice",2045,"2015",1001,"95+",0,0,0.5,0.6,0,0
"Belice",2045,"2015",1026,"0-4",2,1,1.5,1.8,1,1
"Belice",2045,"2015",1026,"10-14",1,1,0.75,0.9,0,0
"Belice",2045,"2015",1026,"15-19",2,2,2.25,2.7,0,0
"Belice",2045,"2015",1026,"20-24",1,1.5,1.75,2.1,-0.5,0
"Belice",2045,"2015",1026,"25-29",2,2.5,2.5,3,-0.5,0
"Belice",2045,"2015",1026,"30-34",4,5.5,6,7.2,-1.5,0
"Belice",2045,"2015",1026,"35-39",5,7.5,7,8.4,-2.5,0
"Belice",2045,"2015",1026,"40-44",10,10,10.75,12.9,0,0
"Belice",2045,"2015",1026,"45-49",16,13,12.75,15.3,3,3
"Belice",2045,"2015",1026,"5-9",2,1,1,1.2,1,1
"Belice",2045,"2015",1026,"50-54",22,16.5,16,19.2,5.5,5.5
"Belice",2045,"2015",1026,"55-59",27,19.5,20.5,24.6,7.5,7.5
"Belice",2045,"2015",1026,"60-64",23,24.5,26,31.2,-1.5,0
