Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,Pais,icd10_code,string,number,intervalo_edad,freq_muerte,mediana,media,banda,desviacion,intesity
2045,NA,,2015,104,X954,1,0,Belice,1102,X,95,Deaths1,20,1.5,5.136363636,6.163636364,18.5,18.5
2045,NA,,2015,104,X959,1,0,Belice,1102,X,95,Deaths1,39,1.5,5.136363636,6.163636364,37.5,37.5
2045,NA,,2015,104,X999,1,0,Belice,1102,X,99,Deaths1,13,1.5,5.136363636,6.163636364,11.5,11.5
2140,NA,,2015,104,X950,1,0,Costa Rica,1102,X,95,Deaths1,32,3,10.2745098,12.32941176,29,29
2140,NA,,2015,104,X954,1,0,Costa Rica,1102,X,95,Deaths1,157,3,10.2745098,12.32941176,154,154
2140,NA,,2015,104,X954,1,0,Costa Rica,1102,X,95,Deaths10,41,0,1.705882353,2.047058824,41,41
2140,NA,,2015,104,X955,1,0,Costa Rica,1102,X,95,Deaths1,14,3,10.2745098,12.32941176,11,11
2140,NA,,2015,104,X958,1,0,Costa Rica,1102,X,95,Deaths1,24,3,10.2745098,12.32941176,21,21
2140,NA,,2015,104,X959,1,0,Costa Rica,1102,X,95,Deaths1,112,3,10.2745098,12.32941176,109,109
2140,NA,,2015,104,X959,1,0,Costa Rica,1102,X,95,Deaths9,12,0,0.764705882,0.917647059,12,12
2140,NA,,2015,104,X959,1,0,Costa Rica,1102,X,95,Deaths10,22,0,1.705882353,2.047058824,22,22
2140,NA,,2015,104,X994,1,0,Costa Rica,1102,X,99,Deaths1,23,3,10.2745098,12.32941176,20,20
2140,NA,,2015,104,X999,1,0,Costa Rica,1102,X,99,Deaths1,28,3,10.2745098,12.32941176,25,25
2190,NA,,2015,104,X954,1,0,El Salvador,1102,X,95,Deaths1,4097,6,156.0285714,187.2342857,4091,4091
2190,NA,,2015,104,X954,1,0,El Salvador,1102,X,95,Deaths8,48,0,2.085714286,2.502857143,48,48
2190,NA,,2015,104,X954,1,0,El Salvador,1102,X,95,Deaths9,672,0,24.48571429,29.38285714,672,672
2190,NA,,2015,104,X954,1,0,El Salvador,1102,X,95,Deaths10,793,1,29.2,35.04,792,792
2190,NA,,2015,104,X954,2,0,El Salvador,1102,X,95,Deaths1,367,6,156.0285714,187.2342857,361,361
2190,NA,,2015,104,X954,2,0,El Salvador,1102,X,95,Deaths9,48,0,24.48571429,29.38285714,48,48
2190,NA,,2015,104,X954,2,0,El Salvador,1102,X,95,Deaths10,53,1,29.2,35.04,52,52
2190,NA,,2015,104,X999,1,0,El Salvador,1102,X,99,Deaths1,337,6,156.0285714,187.2342857,331,331
2190,NA,,2015,104,X999,1,0,El Salvador,1102,X,99,Deaths9,55,0,24.48571429,29.38285714,55,55
2190,NA,,2015,104,X999,1,0,El Salvador,1102,X,99,Deaths10,53,1,29.2,35.04,52,52
2190,NA,,2015,104,Y009,1,0,El Salvador,1102,Y,0,Deaths1,192,6,156.0285714,187.2342857,186,186
