pais,causa,causa_grupo,alpha,beta
Belice,I,Enfermedades infecciosas y parasitarias,0.7923667072405164,884.1294437929569
Belice,II,Tumores,0.3119709422420788,80.48846011384009
Belice,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0.13160855437919852,524.2137064466625
Belice,IV,"Enfermedades endocrinas, nutricionales y metabólicas",0.2340626412611338,38.41034805852031
Belice,IX,Enfermedades del sistema circulatorio,0.17939174579328157,6.7246267609550054
Belice,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",0.3209615545548054,613.1986456582772
Belice,X,Enfermedades del sistema respiratorio,0.21893119248900944,19.79654043581748
Belice,XI,Enfermedades del sistema digestivo,0.3812994007750573,333.60527920422663
Belice,XII,Enfermedades de la piel y del tejido subcutáneo,0.02971867861700596,62.38424472955056
Belice,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0.42741775128766135,18319.416514485376
Belice,XIV,Enfermedades del sistema genitourinario,0.17076426863370875,111.6026212165342
Belice,XV,"Embarazo, parto y puerperio",1.0882252836141464,52185.41307539595
Belice,XVI,Afecciones originadas en el periodo perinatal,37.29194027646248,23274.690125581223
Belice,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0.12218625733966804,1962.879781303036
Belice,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0.07819501042873055,44.2073939268513
Belice,XX,Causas externas de mortalidad,0.9871695097580168,875.5827422725299
Costa Rica,I,Enfermedades infecciosas y parasitarias,0.4459973590175838,1238.7148764241715
Costa Rica,II,Tumores,0.34466949896945565,59.59700732737815
Costa Rica,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0.39737668904948414,6540.314938481101
Costa Rica,IV,"Enfermedades endocrinas, nutricionales y metabólicas",0.2805222424043851,158.7547665244733
Costa Rica,IX,Enfermedades del sistema circulatorio,0.21391354264186527,14.368499733753284
Costa Rica,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",0.2967962422693733,145.31686773769383
Costa Rica,X,Enfermedades del sistema respiratorio,0.2077419660517235,32.318853178423744
Costa Rica,XI,Enfermedades del sistema digestivo,0.28426043675934015,135.12464943778463
Costa Rica,XII,Enfermedades de la piel y del tejido subcutáneo,0.14044531994796688,619.6857496140034
