pais,anio,grupo_edad,sexo,causa,causa_grupo,q_media_posterior,q_mediana_posterior,q_li_95,q_ls_95
Belice,2015,0-4,Hombre,I,Enfermedades infecciosas y parasitarias,2.942981783291241e-4,2.7974649748202074e-4,1.0427219248400861e-4,5.770101271499767e-4
Belice,2015,0-4,Hombre,II,Tumores,1.653849093226075e-5,4.175866226039115e-6,3.812056881174567e-10,1.0351602070837785e-4
Belice,2015,0-4,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,6.640023914494106e-6,1.4660254909955875e-7,2.2882823493873127e-17,5.8454997737758745e-5
Belice,2015,0-4,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",6.502219319358781e-5,4.798901358044031e-5,2.5838412679835654e-6,2.2562212012385967e-4
Belice,2015,0-4,Hombre,IX,Enfermedades del sistema circulatorio,1.1556304741508946e-4,9.802578118390741e-5,1.605859723250073e-5,3.17532092544646e-4
Belice,2015,0-4,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1.6858705323284824e-4,1.5155489110766013e-4,3.7853225777751616e-5,3.9495897095133e-4
Belice,2015,0-4,Hombre,X,Enfermedades del sistema respiratorio,3.857312542859415e-4,3.6727332882389546e-4,1.561682598533455e-4,7.185468213663804e-4
Belice,2015,0-4,Hombre,XI,Enfermedades del sistema digestivo,7.269106896657034e-5,5.645381270606275e-5,4.417288348432677e-6,2.3496085100032076e-4
Belice,2015,0-4,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,1.5307397905653553e-6,2.371420617767758e-15,5.489733423388256e-59,1.902579576090461e-5
Belice,2015,0-4,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.1481186223335569e-5,4.628548483458848e-6,3.834867119767648e-9,5.947497996930838e-5
Belice,2015,0-4,Hombre,XIV,Enfermedades del sistema genitourinario,9.122675802465523e-6,6.365367288628734e-7,1.3200723694831245e-14,7.274183765081403e-5
Belice,2015,0-4,Hombre,XVI,Afecciones originadas en el periodo perinatal,0.001832264417729601,0.0018216931641643823,0.0014506786450548177,0.002257653105136086
Belice,2015,0-4,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",7.245599804143859e-4,7.075407604278322e-4,4.0577489039908543e-4,0.0011301936937632283
Belice,2015,0-4,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",4.420259810854377e-6,4.340165358185437e-9,1.4005329915726657e-25,4.665287280165448e-5
Belice,2015,0-4,Hombre,XX,Causas externas de mortalidad,2.528569847297529e-4,2.3615064310764268e-4,8.318155288026834e-5,5.181502846476146e-4
Belice,2015,0-4,Mujer,I,Enfermedades infecciosas y parasitarias,2.524400191040435e-4,2.3502570831215153e-4,7.933961476937753e-5,5.241147854706856e-4
