pais,anio,grupo_edad,sexo,causa,causa_grupo,q_c
Belice,2015,0-4,Hombre,I,Enfermedades infecciosas y parasitarias,2.942981783291241e-4
Belice,2015,0-4,Hombre,II,Tumores,1.653849093226075e-5
Belice,2015,0-4,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,6.640023914494106e-6
Belice,2015,0-4,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",6.502219319358781e-5
Belice,2015,0-4,Hombre,IX,Enfermedades del sistema circulatorio,1.1556304741508946e-4
Belice,2015,0-4,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1.6858705323284824e-4
Belice,2015,0-4,Hombre,X,Enfermedades del sistema respiratorio,3.857312542859415e-4
Belice,2015,0-4,Hombre,XI,Enfermedades del sistema digestivo,7.269106896657034e-5
Belice,2015,0-4,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,1.5307397905653553e-6
Belice,2015,0-4,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.1481186223335569e-5
Belice,2015,0-4,Hombre,XIV,Enfermedades del sistema genitourinario,9.122675802465523e-6
Belice,2015,0-4,Hombre,XVI,Afecciones originadas en el periodo perinatal,0.001832264417729601
Belice,2015,0-4,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",7.245599804143859e-4
Belice,2015,0-4,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",4.420259810854377e-6
Belice,2015,0-4,Hombre,XX,Causas externas de mortalidad,2.528569847297529e-4
Belice,2015,0-4,Mujer,I,Enfermedades infecciosas y parasitarias,2.524400191040435e-4
Belice,2015,0-4,Mujer,II,Tumores,1.272652593767849e-4
Belice,2015,0-4,Mujer,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,7.178794157292765e-6
Belice,2015,0-4,Mujer,IV,"Enfermedades endocrinas, nutricionales y metabólicas",6.903312111152686e-5
Belice,2015,0-4,Mujer,IX,Enfermedades del sistema circulatorio,6.544252048405596e-5
Belice,2015,0-4,Mujer,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",7.163179462995134e-5
Belice,2015,0-4,Mujer,X,Enfermedades del sistema respiratorio,2.9064726235154137e-4
