pais,causa,causa_grupo,alpha_inicial,beta_inicial,alpha_corregido,beta_corregido,celdas_iniciales,celdas_corregidas,media_colectiva_inicial,media_colectiva_corregida
Belice,XV,"Embarazo, parto y puerperio",0.20863944232563883,29629.293539205657,1.0882252836141464,52185.41307539595,160,36,7.04166105241645e-6,2.0853054895664246e-5
Belice,XVI,Afecciones originadas en el periodo perinatal,0.015990036754915827,177.14881573829476,37.291940276462476,23274.690125581226,160,8,9.026330031208454e-5,0.0016022529226060408
Costa Rica,XV,"Embarazo, parto y puerperio",0.18928423185482957,68784.24535432784,1.8674924137965323,195936.00587977853,160,36,2.7518544527132765e-6,9.53113444061108e-6
Costa Rica,XVI,Afecciones originadas en el periodo perinatal,0.009019773092977433,229.2643064211966,116.41342573247233,149513.70114111368,160,8,3.9342247529829665e-5,7.786137647853375e-4
El Salvador,XV,"Embarazo, parto y puerperio",0.15684087591069187,42833.05969983342,1.7027351356051308,133362.8136789783,160,36,3.6616780825326337e-6,1.2767690547560255e-5
El Salvador,XVI,Afecciones originadas en el periodo perinatal,0.009438903499599166,317.04638937655983,31.027516822839488,53280.32892865201,160,8,2.9771364115389644e-5,5.8234469356202e-4
Guatemala,XV,"Embarazo, parto y puerperio",0.07063911896071072,5332.537863646601,0.8552211286446156,16103.193822855756,160,36,1.3246810574431606e-5,5.310878935275399e-5
Guatemala,XVI,Afecciones originadas en el periodo perinatal,0.007028410636959712,90.20783167654584,41.87175311370694,27145.366570990893,160,8,7.791353041453393e-5,0.0015425009275230608
Nicaragua,XV,"Embarazo, parto y puerperio",0.11974753863184337,19790.844528318306,1.4557792864598393,66600.1895896267,160,36,6.050653293774256e-6,2.1858485620386043e-5
Nicaragua,XVI,Afecciones originadas en el periodo perinatal,0.00813643722195049,106.52387738684578,26.27814664517306,17555.39358132048,160,8,7.638134680737061e-5,0.001496870265166477
Panama,XV,"Embarazo, parto y puerperio",0.11542784414333052,16715.363306979794,1.411898342872912,55602.15228949411,160,36,6.905494186604462e-6,2.539287212339956e-5
Panama,XVI,Afecciones originadas en el periodo perinatal,0.00886173557142028,152.3730369179523,45.27173429590767,39495.95514811301,160,8,5.815816072624465e-5,0.0011462372317908257
