Cause,icd10_code
A009,1001
A010,1001
A020,1001
A021,1001
A022,1001
A029,1001
A030,1001
A033,1001
A039,1001
A040,1001
A041,1001
A042,1001
A044,1001
A045,1001
A047,1001
A048,1001
A049,1001
A050,1001
A052,1001
A059,1001
A060,1001
A061,1001
A064,1001
A067,1001
A069,1001
A071,1001
A080,1001
A083,1001
A084,1001
A085,1001
A090,1001
A099,1001
A150,1001
A151,1001
A152,1001
A153,1001
A154,1001
A155,1001
A156,1001
A157,1001
A159,1001
A160,1001
A161,1001
A162,1001
A163,1001
A164,1001
A165,1001
A167,1001
A168,1001
A169,1001
A170,1001
A171,1001
A178,1001
A179,1001
A180,1001
A181,1001
A182,1001
A183,1001
A187,1001
A188,1001
A190,1001
A191,1001
A192,1001
A199,1001
A220,1001
A241,1001
A270,1001
A278,1001
A279,1001
A280,1001
A288,1001
A305,1001
A309,1001
A310,1001
A319,1001
A321,1001
A327,1001
A329,1001
A35,1001
A370,1001
A379,1001
A38,1001
A390,1001
A392,1001
A394,1001
A395,1001
A399,1001
A400,1001
A401,1001
A403,1001
A408,1001
A409,1001
A410,1001
A411,1001
A412,1001
A413,1001
A414,1001
A415,1001
A418,1001
A419,1001
A428,1001
A449,1001
A46,1001
A480,1001
A483,1001
A488,1001
A490,1001
A491,1001
A492,1001
A493,1001
A498,1001
A499,1001
A500,1001
A502,1001
A503,1001
A504,1001
A509,1001
A521,1001
A523,1001
A529,1001
A530,1001
A539,1001
A542,1001
A55,1001
A568,1001
A64,1001
A690,1001
A698,1001
A699,1001
A710,1001
A799,1001
A810,1001
A812,1001
A819,1001
A829,1001
A858,1001
A86,1001
A870,1001
A872,1001
A878,1001
A879,1001
A888,1001
A89,1001
A90,1001
A91,1001
A920,1001
A922,1001
A928,1001
A959,1001
A971,1001
A979,1001
A985,1001
A99,1001
B002,1001
B003,1001
B004,1001
B007,1001
B009,1001
B010,1001
B011,1001
B012,1001
B018,1001
B019,1001
B020,1001
B021,1001
B028,1001
B029,1001
B03,1001
B068,1001
B083,1001
B085,1001
B09,1001
B150,1001
B159,1001
B160,1001
B162,1001
B169,1001
B171,1001
B172,1001
B178,1001
B179,1001
B181,1001
B182,1001
B189,1001
B190,1001
B199,1001
B200,1001
B201,1001
B202,1001
B203,1001
B204,1001
B205,1001
B206,1001
B207,1001
B208,1001
B209,1001
B210,1001
B211,1001
B212,1001
B213,1001
B217,1001
B218,1001
B219,1001
B220,1001
B221,1001
B222,1001
B227,1001
B230,1001
B232,1001
B238,1001
B24,1001
B250,1001
B251,1001
B258,1001
B259,1001
B269,1001
B270,1001
B279,1001
B333,1001
B334,1001
B340,1001
B343,1001
B348,1001
B349,1001
B361,1001
B369,1001
B370,1001
B371,1001
B374,1001
B377,1001
B378,1001
B379,1001
B382,1001
B389,1001
B390,1001
B392,1001
B393,1001
B399,1001
B402,1001
B419,1001
B429,1001
B431,1001
B432,1001
B440,1001
B441,1001
B449,1001
B451,1001
B452,1001
B457,1001
B459,1001
B461,1001
B464,1001
B465,1001
B479,1001
B49,1001
B508,1001
B509,1001
B519,1001
B529,1001
B54,1001
B550,1001
B551,1001
B552,1001
B559,1001
B570,1001
B572,1001
B573,1001
B575,1001
B582,1001
B583,1001
B588,1001
B589,1001
B59,1001
B690,1001
B698,1001
B699,1001
B740,1001
B770,1001
B778,1001
B779,1001
B829,1001
B86,1001
B889,1001
B89,1001
B900,1001
B901,1001
B908,1001
B909,1001
B91,1001
B92,1001
B941,1001
B942,1001
B948,1001
B949,1001
B99,1001
C000,1026
C001,1026
C002,1026
C004,1026
C009,1026
C01,1026
C020,1026
C021,1026
C024,1026
C028,1026
C029,1026
C030,1026
C031,1026
C039,1026
C040,1026
C049,1026
C050,1026
C051,1026
C052,1026
C059,1026
C060,1026
C061,1026
C062,1026
C068,1026
C069,1026
C07,1026
C080,1026
C081,1026
C089,1026
C090,1026
C099,1026
C100,1026
C103,1026
C104,1026
C108,1026
C109,1026
C111,1026
C112,1026
C118,1026
C119,1026
C12,1026
C139,1026
C140,1026
C142,1026
C148,1026
C150,1026
C151,1026
C152,1026
C153,1026
C154,1026
C155,1026
C158,1026
C159,1026
C160,1026
C161,1026
C162,1026
C163,1026
C164,1026
C168,1026
C169,1026
C170,1026
C171,1026
C172,1026
C178,1026
C179,1026
C180,1026
C181,1026
C182,1026
C183,1026
C184,1026
C185,1026
C186,1026
C187,1026
C188,1026
C189,1026
C19,1026
C20,1026
C210,1026
C211,1026
C212,1026
C218,1026
C220,1026
C221,1026
C222,1026
C223,1026
C224,1026
C227,1026
C229,1026
C23,1026
C240,1026
C241,1026
C248,1026
C249,1026
C250,1026
C251,1026
C252,1026
C253,1026
C254,1026
C257,1026
C258,1026
C259,1026
C260,1026
C261,1026
C268,1026
C269,1026
C300,1026
C301,1026
C310,1026
C311,1026
C312,1026
C313,1026
C318,1026
C319,1026
C320,1026
C321,1026
C322,1026
C323,1026
C329,1026
C33,1026
C340,1026
C341,1026
C342,1026
C343,1026
C348,1026
C349,1026
C37,1026
C380,1026
C381,1026
C382,1026
C383,1026
C384,1026
C388,1026
C390,1026
C398,1026
C399,1026
C400,1026
C401,1026
C402,1026
C403,1026
C409,1026
C410,1026
C411,1026
C412,1026
C413,1026
C414,1026
C418,1026
C419,1026
C431,1026
C432,1026
C433,1026
C434,1026
C435,1026
C436,1026
C437,1026
C438,1026
C439,1026
C440,1026
C441,1026
C442,1026
C443,1026
C444,1026
C445,1026
C446,1026
C447,1026
C448,1026
C449,1026
C450,1026
C451,1026
C457,1026
C459,1026
C460,1026
C461,1026
C467,1026
C469,1026
C470,1026
C471,1026
C472,1026
C473,1026
C474,1026
C475,1026
C479,1026
C480,1026
C481,1026
C482,1026
C488,1026
C490,1026
C491,1026
C492,1026
C493,1026
C494,1026
C495,1026
C496,1026
C498,1026
C499,1026
C500,1026
C501,1026
C502,1026
C503,1026
C504,1026
C505,1026
C506,1026
C508,1026
C509,1026
C510,1026
C519,1026
C52,1026
C530,1026
C531,1026
C538,1026
C539,1026
C540,1026
C541,1026
C542,1026
C549,1026
C55,1026
C56,1026
C570,1026
C574,1026
C578,1026
C579,1026
C58,1026
C600,1026
C602,1026
C609,1026
C61,1026
C620,1026
C629,1026
C630,1026
C631,1026
C632,1026
C637,1026
C638,1026
C639,1026
C64,1026
C65,1026
C66,1026
C670,1026
C671,1026
C673,1026
C674,1026
C675,1026
C676,1026
C678,1026
C679,1026
C680,1026
C688,1026
C689,1026
C691,1026
C692,1026
C693,1026
C694,1026
C696,1026
C699,1026
C700,1026
C701,1026
C709,1026
C710,1026
C711,1026
C712,1026
C713,1026
C714,1026
C715,1026
C716,1026
C717,1026
C718,1026
C719,1026
C720,1026
C722,1026
C723,1026
C724,1026
C725,1026
C728,1026
C729,1026
C73,1026
C740,1026
C741,1026
C749,1026
C750,1026
C751,1026
C752,1026
C753,1026
C755,1026
C759,1026
C760,1026
C761,1026
C762,1026
C763,1026
C764,1026
C765,1026
C767,1026
C768,1026
C800,1026
C809,1026
C810,1026
C811,1026
C812,1026
C817,1026
C819,1026
C820,1026
C822,1026
C826,1026
C827,1026
C829,1026
C830,1026
C831,1026
C833,1026
C835,1026
C837,1026
C838,1026
C839,1026
C840,1026
C841,1026
C844,1026
C845,1026
C848,1026
C849,1026
C851,1026
C852,1026
C857,1026
C859,1026
C861,1026
C864,1026
C866,1026
C880,1026
C887,1026
C889,1026
C900,1026
C901,1026
C902,1026
C903,1026
C910,1026
C911,1026
C913,1026
C914,1026
C915,1026
C917,1026
C919,1026
C920,1026
C921,1026
C922,1026
C923,1026
C924,1026
C925,1026
C927,1026
C929,1026
C930,1026
C931,1026
C939,1026
C940,1026
C942,1026
C943,1026
C944,1026
C946,1026
C947,1026
C950,1026
C951,1026
C957,1026
C959,1026
C962,1026
C966,1026
C968,1026
C969,1026
D000,1026
D001,1026
D002,1026
D010,1026
D011,1026
D012,1026
D015,1026
D019,1026
D020,1026
D022,1026
D023,1026
D036,1026
D038,1026
D040,1026
D043,1026
D046,1026
D049,1026
D050,1026
D051,1026
D057,1026
D059,1026
D060,1026
D067,1026
D069,1026
D070,1026
D073,1026
D075,1026
D076,1026
D090,1026
D093,1026
D097,1026
D099,1026
D101,1026
D105,1026
D106,1026
D110,1026
D119,1026
D120,1026
D121,1026
D123,1026
D124,1026
D125,1026
D126,1026
D127,1026
D129,1026
D130,1026
D131,1026
D132,1026
D133,1026
D134,1026
D135,1026
D136,1026
D137,1026
D139,1026
D140,1026
D141,1026
D142,1026
D143,1026
D150,1026
D151,1026
D152,1026
D164,1026
D165,1026
D166,1026
D167,1026
D169,1026
D170,1026
D179,1026
D180,1026
D181,1026
D191,1026
D200,1026
D201,1026
D210,1026
D213,1026
D215,1026
D219,1026
D233,1026
D239,1026
D24,1026
D259,1026
D260,1026
D261,1026
D269,1026
D27,1026
D289,1026
D291,1026
D292,1026
D300,1026
D301,1026
D302,1026
D303,1026
D309,1026
D319,1026
D320,1026
D329,1026
D330,1026
D331,1026
D332,1026
D333,1026
D334,1026
D337,1026
D339,1026
D34,1026
D350,1026
D351,1026
D352,1026
D353,1026
D354,1026
D361,1026
D367,1026
D369,1026
D370,1026
D371,1026
D372,1026
D373,1026
D374,1026
D375,1026
D376,1026
D377,1026
D379,1026
D380,1026
D381,1026
D382,1026
D383,1026
D384,1026
D385,1026
D386,1026
D390,1026
D391,1026
D392,1026
D397,1026
D399,1026
D400,1026
D401,1026
D409,1026
D410,1026
D411,1026
D412,1026
D413,1026
D414,1026
D419,1026
D420,1026
D429,1026
D430,1026
D431,1026
D432,1026
D433,1026
D434,1026
D437,1026
D439,1026
D440,1026
D441,1026
D442,1026
D443,1026
D444,1026
D445,1026
D446,1026
D447,1026
D448,1026
D449,1026
D45,1026
D462,1026
D464,1026
D467,1026
D469,1026
D471,1026
D472,1026
D473,1026
D474,1026
D475,1026
D477,1026
D479,1026
D480,1026
D481,1026
D482,1026
D483,1026
D484,1026
D485,1026
D486,1026
D487,1026
D489,1026
D500,1048
D501,1048
D508,1048
D509,1048
D510,1048
D519,1048
D520,1048
D529,1048
D530,1048
D531,1048
D539,1048
D552,1048
D561,1048
D568,1048
D569,1048
D570,1048
D571,1048
D572,1048
D578,1048
D580,1048
D581,1048
D582,1048
D589,1048
D590,1048
D591,1048
D592,1048
D593,1048
D594,1048
D595,1048
D599,1048
D609,1048
D610,1048
D612,1048
D613,1048
D619,1048
D62,1048
D640,1048
D641,1048
D643,1048
D648,1048
D649,1048
D65,1048
D66,1048
D67,1048
D680,1048
D682,1048
D683,1048
D685,1048
D686,1048
D688,1048
D689,1048
D690,1048
D691,1048
D692,1048
D693,1048
D694,1048
D695,1048
D696,1048
D699,1048
D70,1048
D71,1048
D721,1048
D728,1048
D729,1048
D731,1048
D733,1048
D735,1048
D738,1048
D739,1048
D748,1048
D749,1048
D751,1048
D758,1048
D759,1048
D761,1048
D762,1048
D763,1048
D801,1048
D808,1048
D819,1048
D820,1048
D821,1048
D823,1048
D824,1048
D841,1048
D848,1048
D849,1048
D860,1048
D868,1048
D869,1048
D898,1048
D899,1048
E001,1051
E009,1051
E02,1051
E030,1051
E031,1051
E035,1051
E039,1051
E040,1051
E041,1051
E042,1051
E049,1051
E050,1051
E051,1051
E052,1051
E055,1051
E059,1051
E062,1051
E063,1051
E065,1051
E069,1051
E070,1051
E079,1051
E100,1051
E101,1051
E102,1051
E103,1051
E104,1051
E105,1051
E106,1051
E107,1051
E108,1051
E109,1051
E110,1051
E111,1051
E112,1051
E113,1051
E114,1051
E115,1051
E116,1051
E117,1051
E118,1051
E119,1051
E120,1051
E121,1051
E122,1051
E125,1051
E126,1051
E127,1051
E128,1051
E129,1051
E131,1051
E132,1051
E135,1051
E136,1051
E137,1051
E139,1051
E140,1051
E141,1051
E142,1051
E143,1051
E144,1051
E145,1051
E146,1051
E147,1051
E148,1051
E149,1051
E15,1051
E160,1051
E161,1051
E162,1051
E163,1051
E169,1051
E209,1051
E210,1051
E211,1051
E213,1051
E220,1051
E222,1051
E229,1051
E230,1051
E232,1051
E233,1051
E236,1051
E237,1051
E249,1051
E250,1051
E258,1051
E260,1051
E268,1051
E269,1051
E271,1051
E272,1051
E274,1051
E278,1051
E279,1051
E282,1051
E283,1051
E310,1051
E319,1051
E343,1051
